id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze
SS-ROM-0105,Via Dora,Salario,giallo,3,senso unico residenziale traffico contenuto,no,1,si,1
SS-ROM-0106,Via Rubicone,Salario,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0107,Via Isonzo,Salario,giallo,3,strada urbana traffico contenuto,no,2,no,1
SS-ROM-0108,Via Piave,Salario,giallo,3,strada urbana traffico medio,no,2,no,1
SS-ROM-0109,Viale Romania,Parioli,giallo,3,viale residenziale traffico contenuto,no,2,no,1
SS-ROM-0110,Viale Pola,Parioli,giallo,3,viale residenziale senso unico,no,1,si,1
SS-ROM-0111,Via Mercadante,Parioli,giallo,3,senso unico residenziale Parioli,no,1,si,1
SS-ROM-0112,Via Paisiello,Parioli,giallo,3,senso unico residenziale Parioli,no,1,si,1
SS-ROM-0113,Via Spontini,Parioli,giallo,3,senso unico residenziale Parioli,no,1,si,1
SS-ROM-0114,Via Bellini,Parioli,giallo,3,senso unico residenziale Parioli,no,1,si,1
SS-ROM-0115,Via Donizetti,Parioli,giallo,3,senso unico residenziale Parioli,no,1,si,1
SS-ROM-0116,Via Giuseppe Pisanelli,Parioli,giallo,3,strada tranquilla residenziale,no,2,no,1
SS-ROM-0117,Via Antonio Bosio,Parioli,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0118,Via Panama,Parioli,giallo,3,strada residenziale traffico contenuto,no,2,no,1
SS-ROM-0119,Via Prati Fiscali,Trionfale,giallo,3,strada urbana traffico contenuto,no,2,no,1
SS-ROM-0120,Via dei Campi Sportivi,Flaminio,giallo,3,strada secondaria area sportiva,no,2,no,1
SS-ROM-0121,Via Reni,Flaminio,giallo,3,senso unico area Flaminio,no,1,si,1
SS-ROM-0122,Via Masaccio,Flaminio,giallo,3,senso unico residenziale Flaminio,no,1,si,1
SS-ROM-0123,Villa Borghese (percorsi interni),Flaminio/Parioli,verde-blu,1,bike friendly ma alto flusso pedonale,si,0,no,2
SS-ROM-0124,Villa Ada (percorsi interni),Salario,verde-blu,1,bike friendly ma alto flusso pedonale nei weekend,si,0,no,2
SS-ROM-0125,Parco della Rimembranza,Flaminio,verde-blu,2,area verde bike friendly con pedoni,si,0,no,1
SS-ROM-0126,Ciclabile Lungotevere Villa Borghese,Flaminio,verde,1,pista ciclabile separata lungo il Tevere,si,0,no,2
SS-ROM-0127,Via del Vignola,Flaminio,giallo,3,senso unico tranquillo area Flaminio,no,1,si,1
SS-ROM-0128,Piazza Ungheria,Parioli,blu,2,piazza ZTL bassa velocità alto flusso pedoni,no,0,no,1
SS-ROM-0129,Piazza Euclide,Parioli,blu,2,piazza ZTL bassa velocità,no,0,no,1
SS-ROM-0130,Via Antonelli,Parioli,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0131,Via Mangili,Parioli,giallo,3,senso unico residenziale Parioli,no,1,si,1
SS-ROM-0132,Viale Bruno Buozzi,Parioli,rosso,4,arteria trafficata 4 corsie nessuna ciclabile,no,4,no,1
SS-ROM-0133,Via Lima,Trieste,giallo,3,strada urbana traffico contenuto,no,2,no,1
SS-ROM-0134,Via Reggio Calabria,Trieste,giallo,3,senso unico residenziale,no,1,si,1
SS-ROM-0135,Via Alessandria,Trieste,rosso,4,trafficata 2 corsie nessuna ciclabile,no,2,no,1
SS-ROM-0136,Viale Regina Margherita,Trieste,rosso,4,arteria trafficata 4 corsie nessuna ciclabile,no,4,no,1
SS-ROM-0200,Via Nomentana (ciclabile confermata),Nomentano,verde,1,ciclabile confermata da Sentinella,si,4,no,2
SS-ROM-0201,Corso d'Italia (Porta Pia - P.za Fiume),Salario,rosso,4,arteria trafficata nessuna ciclabile,no,4,no,1
SS-ROM-0202,Villa Borghese (percorsi interni),Flaminio,verde,1,percorsi ciclabili interni bike friendly confermati,si,0,no,2
SS-ROM-0425,Piazza Santiago del Cile,Parioli,verde,1,segnalazione community Sentinelle,si,2,no,1
SS-ROM-0426,Piazza Santiago del Cile,Parioli,rosso,4,segnalazione community Sentinelle,no,2,no,1
SS-ROM-0427,Viale Bruno Buozzi,Pinciano,giallo,3,segnalazione community Sentinelle,no,2,no,1
SS-ROM-0428,Via Guido Reni,Flaminio,verde,1,segnalazione community Sentinelle,si,2,no,1
SS-ROM-0429,Ponte della Musica Armando Trovajoli,Flaminio,blu,2,segnalazione community Sentinelle,no,2,no,1
SS-ROM-0433,Via Luisa di Savoia,Flaminio,rosso,4,segnalazione community Sentinelle,no,2,no,1
